# date               round  word                  result  mode  input                 seconds
2026-09-10T00:00:00  R1     rain                  O       type  -                     0
2026-09-10T00:00:00  R1     small                 X       type  -                     0
2026-09-10T00:00:00  R1     busy                  O       type  -                     0
2026-09-10T00:00:00  R1     borrow                X       type  -                     0
2026-09-10T00:00:00  R1     weather               X       type  -                     0
2026-09-10T00:00:00  R1     decide                X       type  -                     0
2026-09-10T00:00:00  R1     refuse                X       type  -                     0
2026-09-10T00:00:00  R1     improve               X       type  -                     0
2026-09-10T00:00:00  R1     curious               X       type  -                     0
2026-09-10T00:00:00  R1     appreciate            X       type  -                     0
2026-09-10T00:00:00  R1     reluctant             X       type  -                     0
2026-09-10T00:00:00  R1     mitigate              X       type  -                     0
2026-09-10T00:10:00  R2     cat                   O       type  -                     0
2026-09-10T00:10:00  R2     big                   O       type  -                     0
2026-09-10T00:10:00  R2     water                 X       type  -                     0
2026-09-10T00:10:00  R2     eat                   O       type  -                     0
2026-09-10T00:10:00  R2     red                   O       type  -                     0
2026-09-10T00:10:00  R2     open                  O       type  -                     0
2026-09-10T00:10:00  R2     cold                  O       type  -                     0
2026-09-10T00:10:00  R2     book                  O       type  -                     0
2026-09-10T00:10:00  R2     run                   O       type  -                     0
2026-09-10T00:10:00  R2     happy                 O       type  -                     0
2026-09-10T00:10:00  R2     small                 X       type  -                     0
2026-09-10T00:10:00  R2     name                  O       type  -                     0
2026-09-10T00:20:00  R3     water                 O       type  -                     0
2026-09-10T00:20:00  R3     small                 O       type  -                     0
2026-09-10T00:20:00  R3     door                  O       type  -                     0
2026-09-10T00:20:00  R3     friend                O       type  -                     0
2026-09-10T00:20:00  R3     walk                  O       type  -                     0
2026-09-10T00:20:00  R3     new                   O       type  -                     0
2026-09-10T00:20:00  R3     money                 O       type  -                     0
2026-09-10T00:20:00  R3     morning               O       type  -                     0
2026-09-10T00:20:00  R3     give                  X       type  -                     0
2026-09-10T00:20:00  R3     fast                  O       type  -                     0
2026-09-10T00:20:00  R3     hungry                O       type  -                     0
2026-09-10T00:20:00  R3     listen                X       type  -                     0
2026-09-10T00:30:00  R4     give                  O       type  -                     0
2026-09-10T00:30:00  R4     listen                O       type  -                     0
2026-09-10T00:30:00  R4     buy                   O       type  -                     0
2026-09-10T00:30:00  R4     tired                 O       type  -                     0
2026-09-10T00:30:00  R4     clean                 O       type  -                     0
2026-09-10T00:30:00  R4     wait                  O       type  -                     0
2026-09-10T00:30:00  R4     answer                O       type  -                     0
2026-09-10T00:30:00  R4     angry                 X       type  -                     0
2026-09-10T00:30:00  R4     remember              O       type  -                     0
2026-09-10T00:30:00  R4     difficult             X       type  -                     0
2026-09-10T00:30:00  R4     weather               X       type  -                     0
2026-09-10T00:30:00  R4     borrow                X       type  -                     0
2026-09-10T00:40:00  R5     angry                 X       type  -                     0
2026-09-10T00:40:00  R5     angel                 O       type  -                     0
2026-09-10T00:40:00  R5     difficult             X       type  -                     0
2026-09-10T00:40:00  R5     different             O       type  -                     0
2026-09-10T00:40:00  R5     borrow                X       type  -                     0
2026-09-10T00:40:00  R5     brown                 O       type  -                     0
2026-09-10T00:40:00  R5     quiet                 X       type  -                     0
2026-09-10T00:40:00  R5     quite                 X       type  -                     0
2026-09-10T00:40:00  R5     sell                  X       type  -                     0
2026-09-10T00:40:00  R5     sea                   O       type  -                     0
2026-09-10T00:40:00  R5     heavy                 X       type  -                     0
2026-09-10T00:40:00  R5     happy                 O       type  -                     0
2026-09-10T00:50:00  R6     angry                 O       type  -                     0
2026-09-10T00:50:00  R6     quiet                 X       type  -                     0
2026-09-10T00:50:00  R6     heavy                 X       type  -                     0
2026-09-10T00:50:00  R6     weather               X       type  -                     0
2026-09-10T00:50:00  R6     bring                 X       type  -                     0
2026-09-10T00:50:00  R6     ready                 O       type  -                     0
2026-09-10T00:50:00  R6     safe                  O       type  -                     0
2026-09-10T00:50:00  R6     strong                X       type  -                     0
2026-09-10T00:50:00  R6     worry                 X       type  -                     0
2026-09-10T00:50:00  R6     visit                 O       type  -                     0
2026-09-10T00:50:00  R6     holiday               X       type  -                     0
2026-09-10T00:50:00  R6     kitchen               X       type  -                     0
2026-09-10T01:00:00  R7     dog                   O       type  -                     0
2026-09-10T01:00:00  R7     school                O       type  -                     0
2026-09-10T01:00:00  R7     milk                  O       type  -                     0
2026-09-10T01:00:00  R7     sleep                 O       type  -                     0
2026-09-10T01:00:00  R7     night                 O       type  -                     0
2026-09-10T01:00:00  R7     hand                  X       type  -                     0
2026-09-10T01:00:00  R7     jump                  O       type  -                     0
2026-09-10T01:00:00  R7     family                O       type  -                     0
2026-09-10T01:00:00  R7     help                  O       type  -                     0
2026-09-10T01:00:00  R7     play                  O       type  -                     0
2026-09-10T01:00:00  R7     chair                 X       type  -                     0
2026-09-10T01:00:00  R7     music                 O       type  -                     0
2026-09-10T01:10:00  R8     table                 O       type  -                     0
2026-09-10T01:10:00  R8     window                O       type  -                     0
2026-09-10T01:10:00  R8     brother               O       type  -                     0
2026-09-10T01:10:00  R8     teacher               O       type  -                     0
2026-09-10T01:10:00  R8     apple                 O       type  -                     0
2026-09-10T01:10:00  R8     green                 O       type  -                     0
2026-09-10T01:10:00  R8     rice                  O       type  -                     0
2026-09-10T01:10:00  R8     letter                X       type  -                     0
2026-09-10T01:10:00  R8     movie                 O       type  -                     0
2026-09-10T01:10:00  R8     dance                 O       type  -                     0
2026-09-10T01:10:00  R8     week                  O       type  -                     0
2026-09-10T01:10:00  R8     minute                O       type  -                     0
2026-09-10T01:20:00  R9     weather               X       type  -                     0
2026-09-10T01:20:00  R9     borrow                X       type  -                     0
2026-09-10T01:20:00  R9     quiet                 X       type  -                     0
2026-09-10T01:20:00  R9     quite                 X       type  -                     0
2026-09-10T01:20:00  R9     heavy                 X       type  -                     0
2026-09-10T01:20:00  R9     difficult             X       type  -                     0
2026-09-10T01:20:00  R9     breakfast             X       type  -                     0
2026-09-10T01:20:00  R9     animal                O       type  -                     0
2026-09-10T01:20:00  R9     always                O       type  -                     0
2026-09-10T01:20:00  R9     because               X       type  -                     0
2026-09-10T01:20:00  R9     hospital              O       type  -                     0
2026-09-10T01:20:00  R9     favorite              X       type  -                     0
2026-09-10T01:30:00  R10    dinner                O       type  -                     0
2026-09-10T01:30:00  R10    library               O       type  -                     0
2026-09-10T01:30:00  R10    birthday              X       type  -                     0
2026-09-10T01:30:00  R10    expensive             X       type  -                     0
2026-09-10T01:30:00  R10    delicious             X       type  -                     0
2026-09-10T01:30:00  R10    umbrella              X       type  -                     0
2026-09-10T01:30:00  R10    bicycle               O       type  -                     0
2026-09-10T01:30:00  R10    doctor                O       type  -                     0
2026-09-10T01:30:00  R10    restaurant            X       type  -                     0
2026-09-10T01:30:00  R10    vegetable             X       type  -                     0
2026-09-10T01:30:00  R10    weekend               O       type  -                     0
2026-09-10T01:30:00  R10    homework              O       type  -                     0
2026-09-10T01:40:00  R11    lunch                 O       type  -                     0
2026-09-10T01:40:00  R11    sister                O       type  -                     0
2026-09-10T01:40:00  R11    student               O       type  -                     0
2026-09-10T01:40:00  R11    bread                 X       type  -                     0
2026-09-10T01:40:00  R11    bird                  O       type  -                     0
2026-09-10T01:40:00  R11    tree                  O       type  -                     0
