# seed-version: 6
# no               word               pos         zh                grade  topic
1                  a                  art.        一個              國小   -
2                  about              prep.       關於              國小   -
3                  after              prep.       在…之後           國小   -
4                  afternoon          n.          下午              國小   -
5                  again              adv.        再一次            國小   -
6                  all                adj.        全部的            國小   -
7                  always             adv.        總是              國小   -
8                  and                conj.       和                國小   -
9                  angry              adj.        生氣的            國小   -
10                 animal             n.          動物              國小   -
11                 answer             n./v.       答案、回答        國小   -
12                 ant                n.          螞蟻              國小   -
13                 apple              n.          蘋果              國小   食物
14                 April              n.          四月              國小   -
15                 arm                n.          手臂              國小   -
16                 art                n.          美術              國小   -
17                 at                 prep.       在                國小   -
18                 August             n.          八月              國小   -
19                 aunt               n.          阿姨、姑姑        國小   -
20                 baby               n.          嬰兒              國小   -
21                 back               n./adv.     背部、回來        國小   -
22                 bad                adj.        壞的              國小   -
23                 bag                n.          袋子、書包        國小   -
24                 ball               n.          球                國小   -
25                 banana             n.          香蕉              國小   食物
26                 bank               n.          銀行              國小   -
27                 baseball           n.          棒球              國小   -
28                 basketball         n.          籃球              國小   -
29                 bathroom           n.          浴室、廁所        國小   居家
30                 be                 v.          是                國小   -
31                 beach              n.          海灘              國小   -
32                 bear               n.          熊                國小   -
33                 beautiful          adj.        美麗的            國小   -
34                 bed                n.          床                國小   居家
35                 bedroom            n.          臥室              國小   居家
36                 beef               n.          牛肉              國小   食物
37                 before             prep.       在…之前           國小   -
38                 big                adj.        大的              國小   -
39                 bicycle            n.          腳踏車            國小   -
40                 bird               n.          鳥                國小   -
41                 birthday           n.          生日              國小   -
42                 black              adj./n.     黑色的、黑色      國小   -
43                 blue               adj./n.     藍色的、藍色      國小   -
44                 boat               n.          小船              國小   -
45                 body               n.          身體              國小   -
46                 book               n.          書                國小   -
47                 box                n.          盒子、箱子        國小   居家
48                 boy                n.          男孩              國小   -
49                 bread              n.          麵包              國小   食物
50                 breakfast          n.          早餐              國小   食物
51                 brother            n.          兄弟              國小   -
52                 brown              adj./n.     咖啡色的、咖啡色  國小   -
53                 bus                n.          公車              國小   -
54                 busy               adj.        忙碌的            國小   -
55                 but                conj.       但是              國小   -
56                 buy                v.          買                國小   -
57                 cake               n.          蛋糕              國小   食物
58                 call               v.          打電話、叫        國小   -
59                 can                aux.        能夠              國小   -
60                 candy              n.          糖果              國小   食物
61                 cap                n.          鴨舌帽            國小   -
62                 car                n.          汽車              國小   -
63                 card               n.          卡片              國小   -
64                 cat                n.          貓                國小   -
65                 catch              v.          接住、抓住        國小   -
66                 chair              n.          椅子              國小   居家
67                 cheap              adj.        便宜的            國小   -
68                 cheese             n.          起司              國小   食物
69                 chicken            n.          雞、雞肉          國小   食物
70                 child              n.          小孩              國小   -
71                 chocolate          n.          巧克力            國小   食物
72                 city               n.          城市              國小   -
73                 class              n.          班級、課          國小   -
74                 classmate          n.          同班同學          國小   -
75                 classroom          n.          教室              國小   -
76                 clean              adj./v.     乾淨的、打掃      國小   -
77                 climb              v.          爬                國小   -
78                 clock              n.          時鐘              國小   居家
79                 close              v./adj.     關上、靠近的      國小   -
80                 clothes            n.          衣服              國小   -
81                 cloud              n.          雲                國小   -
82                 cloudy             adj.        多雲的            國小   -
83                 coat               n.          外套              國小   -
84                 coffee             n.          咖啡              國小   食物
85                 cold               adj.        冷的              國小   -
86                 color              n.          顏色              國小   -
87                 come               v.          來                國小   -
